scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Gonkoken,Gonkoken,Gonkoken,Herbivore,8.0,4000.0,3.0,Bipedal,Late Cretaceous,South America,Hadrosaur dinosaur,2021,Chile,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Gonkoken,1308
Edmarka,Edmarka,Edmarka lizard,Carnivore,3.0,90.0,1.5,Bipedal,Late Cretaceous,North America,,2018,USA,Medium theropod,avg,https://en.wikipedia.org/wiki/Edmarka,1288
Miragaia,Miragaia,Miragaia (place name),Herbivore,6.5,3000.0,2.0,Bipedal,Late Jurassic,Europe,Stegosaurid dinosaur with long neck,2009,Portugal,Known for extended neck plates,Medium,https://en.wikipedia.org/wiki/Miragaia,811
YEHUECAUHCERATOPS ,Yehuecauhceratops,Strong horned face,Herbivore,5.0,2000.0,2.0,Quadrupedal,Cretaceous,North America,Ceratopsian dinosaur,2021,Mexico,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Yehuecauhceratops,1532
Ceratops,Ceratops,horned face,Herbivore,6.0,2500.0,,Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),"North America (Wyoming, USA)",Early-discovered ceratopsid; possibly nomen dubium,1888,"Lance Formation, Wyoming",Only skull fragments found; historic importance,Low,https://en.wikipedia.org/wiki/Ceratops,479
Tugulusaurus,Tugulusaurus,Tugulu lizard  ,Carnivore,3.0,70.0,1.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,01/01/2009,China,Small predator,Medium,https://en.wikipedia.org/wiki/Tugulusaurus,1132
Archaeornithomimus,Archaeornithomimus,Alvarez's lizard,Carnivore,2.0,20.0,0.8,Bipedal,Late Cretaceous,Argentina,Small predator,1991?,Argentina,Tiny arms,Medium,https://en.wikipedia.org/wiki/Archaeornithomimus,30
Prenoceratops,Prenoceratops,Earlier horned face,HERBIVORE,2.0,100.0,0.9,Quadrupedal ,Late Cretaceous,North America,Ceratopsian dinosaur,c. 1947,USA,Small ceratopsian,Medium,https://en.wikipedia.org/wiki/Prenoceratops,931
Dongbeititan,Dongbeititan,Titan from Northeast China,Herbivore,about 15.0m,10000.0,4.5,Quadrupedal,Early Cretaceous (Aptian),Asia (China),TITANOSAURIFORM SAUROPOD WITH LONG NECK AND TAIL,2010,"Yixian Formation, Liaoning Province",One of the earliest sauropods from northeast Asia,Low,https://en.wikipedia.org/wiki/Dongbeititan,544
Wakinosaurus,Wakinosaurus,Wakino lizard,Unknown,6.0,1000.0,,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,1996,Japan,Medium theropod,Medium,https://en.wikipedia.org/wiki/Wakinosaurus,1163
Sirindhorna,Sirindhorna,Sirindhorn’s horn  ,Herbivore,~7.0,3500.0,3.0,Quadrupedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,2015,Thailand,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Sirindhorna,1041
Dolichosuchus,Dolichosuchus,long crocodile,Carnivore,3.5,200.0,1.5,Bipedal,Triassic (Norian),Europe (Germany),Early theropod known from leg bones; fragmentary,1932,"Norian deposits, Germany",Possibly a coelophysoid or nomen dubium,unknown,https://en.wikipedia.org/wiki/Dolichosuchus,543
Yuanyanglong,Yuanyanglong,Yuanyang dragon,HERBIVORE,9.0,4000.0,3.0,,Cretaceous,Asia,,2017,China,Medium sauropod,Medium,en.wikipedia.org/wiki/Yuanyanglong,1536
Herrerasaurus,Herrerasaurus,Near horned face,HERBIVORE,6.0,2000.0,2.0,QUADRUPEDAL,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Herrerasaurus,135
Archaeopteryx,Archaeopteryx,Different lizard,Carnivore,12.0,,3.5,Bipedal,Late Jurassic,North America,Pack hunter,c. 1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Archaeopteryx,29
Sinopeltosaurus,Sinopeltosaurus,Chinese shield lizard,Herbivore,7.0,3500.0,3.0,Bipedal,Late Cretaceous,Asia,Ankylosaur dinosaur,2021,China,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Sinopeltosaurus,1480
Katepensaurus,Katepensaurus,Katepen lizard,HERBIVORE,11.0,10000.0,4.0,Quadrupedal,Late Cretaceous,South America,Titanosaur sauropod,2009,Argentina,"Robust limbs, large size",Low,https://en.wikipedia.org/wiki/Katepensaurus,710
JEYAWATI ,Jeyawati,Jeyawati (named after Hopi language term),Herbivore,5.0,1500.0,2.0,Bipedal,Late Cretaceous,North America,Medium-sized hadrosauroid,around 2013,USA,Robust jaws and teeth,Medium,https://en.wikipedia.org/wiki/Jeyawati,693
Syngonosaurus,Syngonosaurus macrocercus,United lizard,Herbivore,6.0,1200.0,2.5,Bipedal,Late? Cretaceous,Africa (England),Basal iguanodontian,1905,England,Fragmentary remains; basal ornithopod,Medium,https://en.wikipedia.org/wiki/Syngonosaurus,270
Alaskacephale,Alaskacephale,Alaska head,Herbivore,1.5,15.0,0.6,Bipedal,Late Cretaceous (Maastrichtian),North America (Alaska),Pachycephalosaurid; possible headbutting behavior,2006,"North Slope, Alaska",Dome-shaped thick skull; cold-environment adaptation,Possibly medium ,https://en.wikipedia.org/wiki/Alaskacephale,344
Balaur,Balaur,dragon,Carnivore,2.0,40.0,1.0,Bipedal,Late Cretaceous (Maastrichtian),Europe (Romania),Unusual dromaeosaur with double sickle claws,2010,"Hațeg Basin, Romania",Possibly secondarily flightless avialan,High,https://en.wikipedia.org/wiki/Balaur,420
Chungkingosaurus,Chungkingosaurus,Different lizard,Carnivore,12.0,2000.0,3.5,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Chungkingosaurus,69
Yibinosaurus,Yibinosaurus,Yibin lizard,Herbivore,9.0,5000.0,3.0,,Late Jurassic,Asia,Sauropod dinosaur,2007,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Yibinosaurus,999999
Gravitholus,Gravitholus,heavy dome,Herbivore,,unknown,1.2, Quadrupedal,Late Cretaceous (Campanian),North America (Canada),Pachycephalosaurid with thick skull dome,1992,"Dinosaur Provincial Park, Alberta",Used thick skull possibly for head-butting,Low,https://en.wikipedia.org/wiki/Gravitholus,637
Alcovasaurus,Alcovasaurus,Alcova lizard,Herbivore,~8.0,2500.0,3.5,Quadrupedal,Late Jurassic (Kimmeridgian),"North America (Wyoming, USA)",Armored; possibly solitary browser,1908 (reassigned in 2015),"Morrison Formation, Wyoming",Closely related to Stegosaurus; distinct tail spikes,Low,https://en.wikipedia.org/wiki/Alcovasaurus,350
Arkharavia,Arkharavia,Arkhar River,HERBIVORE,7.0,2500.0,3.0,Quadrupedal,Late Cretaceous (Maastrichtian),Asia (Russia),Possibly a titanosaur or hadrosaur; debated identity,2008,"Amur Region, Russia",Known from vertebrae; uncertain classification,Low,https://en.wikipedia.org/wiki/Arkharavia,394
Crichtonpelta,Crichtonpelta,Crichton's shield,Herbivore,4.0,500.0,7.93,Quadrupedal,Late Cretaceous (Cenomanian),Asia (China),Ankylosaur with fused cranial plates,2015,"Jiufotang Formation, Liaoning Province",More complete than Crichtonsaurus; robust skull armor,Low,https://en.wikipedia.org/wiki/Crichtonpelta,514
Rajasaurus,Rajasaurus,Prince lizard,carnivore,9.0,3000.0,3.0,Bipedal,Late Cretaceous,India,Abelisaurid with nasal horn,2003,"Narmada River Valley, India",Single horn on forehead,,https://en.wikipedia.org/wiki/Rajasaurus,240
Khetranisaurus,Khetranisaurus,Khetrani lizard,Herbivore,9.0,7000.0,3.5,Quadrupedal ,Late Cretaceous,Asia (Pakistan),Titanosaurian sauropod,2021,,Large size and long neck,Low,https://en.wikipedia.org/wiki/Khetranisaurus,715
Pawpawsaurus,Pawpawsaurus,Pawpaw lizard,Herbivore,6.0,2000.0,2.0,Quadrupedal ,Late Cretaceous,North America,,c. 1996,USA,Medium armored dinosaur,Unknown,http//invalid-url,900
Hulsanpes,Hulsanpes,Cretaceous bird-foot,Carnivore,7.18,5.0,0.4,Bipedal,Late Cretaceous,Asia (Mongolia),Small dromaeosaurid theropod,2005,,"Feathered predator, agile and small",High,https://en.wikipedia.org/wiki/Hulsanpes,668
Antarctosaurus,Antarctosaurus,Vineyard lizard,Herbivore,15.0,5000.0,4.2,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low,https://en.wikipedia.org/wiki/Antarctosaurus,23
Rahonavis,Rahonavis,Fast bird,Carnivore,1.0,15.0,0.5,Bipedal,LATE CRETACEOUS,Madagascar,Avian theropod,c. 2000,Madagascar,Small feathered dinosaur,Medium,https://en.wikipedia.org/wiki/Rahonavis,963
Arrhinoceratops,Arrhinoceratops,Sand lizard,HERBIVORE,4.0,300.0,1.2,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium,https://en.wikipedia.org/wiki/Arrhinoceratops,32
Morelladon,Morelladon,Morella tooth,Carnivore,6.0,1500.0,2.0,Bipedal,Late Cretaceous,Europe,Spinosaurid dinosaur...,2011,Spain,Medium-sized spinosaur with sail,,https://en.wikipedia.org/wiki/Morelladon,820
Zephyrosaurus,Zephyrosaurus schaffi,West wind lizard,Herbivore,2.0,25.0,,,Early Cretaceous,USA,Small ornithopod dinosaur,1980,"Montana, USA","Slender, agile build",Medium,https://en.wikipedia.org/wiki/Zephyrosaurus,303
Daemonosaurus,Daemonosaurus,demon lizard,Carnivore,1.5,10.0,0.5 meters,Bipedal,Late Triassic (Norian),"North America (New Mexico, USA)",Basal theropod with short skull and sharp teeth,2011,"Ghost Ranch, New Mexico",Intermediate between early dinos and theropods,High,https://en.wikipedia.org/wiki/Daemonosaurus,522
Bahariasaurus,Bahariasaurus,Bahariya lizard,Carnivore,11.0,4000.0,3.5,Bipedal,Late Cretaceous (Cenomanian),Africa (Egypt),"Large theropod, possibly a carcharodontosaurid",1934,"Bahariya Formation, Egypt",Fossils destroyed in WWII; poorly known,Medium,https://en.wikipedia.org/wiki/Bahariasaurus,416
Scelidosaurus,Scelidosaurus harrisonii,Limb lizard,Herbivore,4.0,270.0,1.5,Quadrupedal,Early Jurassic (Sinemurian–Pliensbachian),England,Early armored ornithischian with bony scutes and long tail,1861?,England,One of the earliest complete dinosaur skeletons ever found,Medium,https://en.wikipedia.org/wiki/Scelidosaurus,251
Kazaklambia,Kazaklambia,Kazakh lambia (named after Kazakhstan),Herbivore,2.0,150.0,1.0,Bipedal,late cretaceous,Asia (Kazakhstan),Primitive hadrosauroid,2003,Kazakhstan,Small frill and beak,Medium,https://en.wikipedia.org/wiki/Kazaklambia,712
Macrocollum,Macrocollum,Long neck,Herbivore,7.5,5000.0,3.0,,Late Triassic,South America,Sauropodomorph dinosaur  ,2012,Brazil,Medium sauropodomorph,Medium,https://en.wikipedia.org/wiki/Macrocollum,1381
Wendiceratops,Wendiceratops,Wendy's horned face,Herbivore,6.0,3000.0,2.5,Quadripedal,Late? Cretaceous,North America,Ceratopsian dinosaur,2015,Canada,Medium ceratopsian,med,https://en.wikipedia.org/wiki/Wendiceratops,1524
Histriasaurus,Histriasaurus,Histria lizard,Carnivore,6.0,700.0,2.3,Bipedal,LATE JURASSIC,Europe (Croatia),Theropod dinosaur known from fragmentary remains,1998,Croatia,Possible basal megalosauroid,High,https://en.wikipedia.org/wiki/Histriasaurus,660
Oceanotitan,Oceanotitan,Ocean titan,Herbivore,22.0,32000.0,7.0,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2020,Portugal,Large sauropod,Large,https://en.wikipedia.org/wiki/Oceanotitan,1418
Rugops,Rugops,Wrinkle face,Carnivore,6.0,750.0,2.2,Bipedal,Late Cretaceous,Africa (Niger),Abelisaurid with textured skull,2000,Niger,"Bumpy skull, short snout",Medium,https://en.wikipedia.org/wiki/Rugops,-237
Changdusaurus,Changdusaurus,Changdu lizard,Unknown,,,unknown,Unknown,Jurassic or Cretaceous (disputed),"Asia (Tibet, China)",Poorly known; possibly dubious,1976,"Qamdo Region, Tibet",Very limited fossil material,Unknown,https://en.wikipedia.org/wiki/Changdusaurus,481
Sinocoelurus,Sinocoelurus,Chinese hollow lizard  ,Carnivore,,,1.0,Bipedal,Late Jurassic,Asia,Theropod dinosaur,1942,China,Small predator,Unknown,https://en.wikipedia.org/wiki/Sinocoelurus,1030
Gobisaurus,Gobisaurus,Almond tooth,Herbivore,12.0,3000.0,,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod  ,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Gobisaurus,999999
Laquintasaura,Laquintasaura,La Quinta lizard,Herbivore,1.5,15.0,0.5,Bipedal,Early Jurassic,South America,Ornithischian dinosaur,2014,Venezuela,"Small, early ornithischian",Medium,https://en.wikipedia.org/wiki/Laquintasaura,745
Jeyawati,Jeyawati,Jeyawati (named after Hopi language term),Herbivore,5.0,1500.0,2.0,Bipedal,Late Cretaceous,North America,Medium-sized hadrosauroid,around 2013,USA,Robust jaws and teeth,Medium,https://en.wikipedia.org/wiki/Jeyawati,693
Chindesaurus,Chindesaurus,Near horned face,Herbivore,,2000.0,2.0,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Chindesaurus,65
Centrosaurus,Centrosaurus,Different lizard,Carnivore,12.0,2000.0,3.5, Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Centrosaurus,59
Galleonosaurus,Galleonosaurus,galleon lizard,Herbivore,2.0,30.0,1.0,Bipedal,Early Cretaceous (Aptian),Australia (Victoria),Small ornithopod named for ship-shaped jaw,2019,"Dinosaur Cove, Victoria",Helps document polar dinosaurs in Australia,Medium,https://en.wikipedia.org/wiki/Galleonosaurus,611
Caieiria,Caieiria,Caieiria lizard,Herbivore,8.0,3000.0,3.0m,Quadrupedal,Late Cretaceous,Africa,Sauropod dinosaur,around 2016,Tanzania,Medium sauropod,med,https://en.wikipedia.org/wiki/Caieiria,1253
Dracopelta,Dracopelta,dragon shield,Herbivore,3.0,400.0,,Quadrupedal,Late Jurassic (Kimmeridgian),Europe (Portugal),  ,1980,"Lourinhã Formation, Portugal",Early armored dinosaur; small size,Low,https://en.wikipedia.org/wiki/Dracopelta,999999
Lewisuchus,Lewisuchus,Lewis's crocodile,Carnivore,1.2,15.0,0.6,Bipedal,Late Triassic,South America,,1964,Argentina,"Small, early dinosauriform",Medium,en.wikipedia.org/wiki/Lewisuchus,754
Chebsaurus,Chebsaurus,Cheb lizard,Herbivore,8.0,4000.0,3.5,Quadrupedal,Middle Jurassic (Bajocian–Bathonian),Africa (Algeria),Macronarian sauropod; known from juvenile skeletons,2005,"Aïn El Guettar Formation, Algeria",First Algerian sauropod described from good material,Low,https://en.wikipedia.org/wiki/Chebsaurus,485
Duonychus,Duonychus,Two-claw,Carnivore,3.0,100.0,1.5,Bipedal,Late Cretaceous,North America,Theropod dinosaur,01/01/2006,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Duonychus,1284
Algoasaurus,Algoasaurus,Algoa lizard,Herbivore,9.0,4000.0,3.5,Quadrupedal,Early Cretaceous (Valanginian),Africa (South Africa),Sauropod; limited fossil material,1904,"Enon Formation, South Africa",One of the first dinosaurs discovered in Africa,Low,https://en.wikipedia.org/wiki/Algoasaurus,352
Apatodon,Apatodon,deceptive tooth,Unknown,,,,Unknown,Late Cretaceous (Maastrichtian),North America (USA),Very poorly known; may not be a dinosaur,1877,"Judith River Formation, Montana",Only a single tooth fragment known; doubtful genus,,https://en.wikipedia.org/wiki/Apatodon,383
Kosmoceratops,Kosmoceratops,Ornamented horned face,Herbivore,4.5,2000.0,1.8,Quadrupedal,Late Cretaceous,North America,Ceratopsid dinosaur,2010,USA,Elaborate skull ornamentation,Medium,https://en.wikipedia.org/wiki/Kosmoceratops,724
Zhenyuanlong,Zhenyuanlong suni,Zhenyuan's dragon,Carnivore,1.6,20.0,0.7,bipedal,Early Cretaceous,China,Large feathered dromaeosaurid,2015,"Liaoning, China",Fully feathered wings and tail,High,https://en.wikipedia.org/wiki/Zhenyuanlong,306
Invictarx,Invictarx,Unconquered shield,Herbivore,6.0,3500.0,2.5,Quadrupedal,late cretaceous,North America,Ankylosaur dinosaur,2018,USA,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Invictarx,1333
Lanzhousaurus,Lanzhousaurus,Lanzhou lizard,Herbivore,10.0,6000.0,3.0,Bipedal,Late Cretaceous,Asia (China),Hadrosaurid dinosaur,1986,China,"Large, duck-billed dinosaur",Medium,https://en.wikipedia.org/wiki/Lanzhousaurus,741
Mymoorapelta,Mymoorapelta,My Moor shield,Herbivore,4.5,600.0,2.0,Quadrupedal,Late Jurassic,North America,Ankylosaurid dinosaur,1994,USA,Small armored dinosaur,Unknown,https://en.wikipedia.org/wiki/Mymoorapelta,826
Bagualosaurus,Bagualosaurus,Bagual lizard,Herbivore,12.0,12000.0,4.5m,Quadrupedal,Late Jurassic,South America,Sauropod dinosaur,2015,Argentina,Medium-large sauropod,Medium,https://en.wikipedia.org/wiki/Bagualosaurus,1236
Dromomeron,Dromomeron,Running femur,Carnivore,1.0,15.0,0.4,Bipedal,Late Triassic,North America,THEROPOD DINOSAUR,2007,USA,Small early theropod,Small,https://en.wikipedia.org/wiki/Dromomeron,1283
Aviatyrannis,Aviatyrannis,tyrant grandmother,Carnivore,1.0,5.0,0.5,Bipedal,Late Jurassic (Kimmeridgian),Europe (Portugal),Early tyrannosauroid; small predator,2003,"Lourinhã Formation, Portugal",May represent early stage in tyrannosaur evolution,Medium,en.wikipedia.org/wiki/Aviatyrannis,413
Mantellodon,Mantellodon,Mantell's tooth,Herbivore,33.01,300.0,1.2,Bipedal,Late Cretaceous,Europe,Ornithopod dinosaur,2020,UK,Small herbivorous dinosaur,avg,https://en.wikipedia.org/wiki/Mantellodon,792
Schleitheimia,Schleitheimia,Schleitheim lizard,Herbivore,10.0,8000.0,,Bipedal,Late Jurassic,Europe,Sauropod dinosaur,2019,Switzerland,Large sauropod,Large,https://en.wikipedia.org/wiki/Schleitheimia,1465
Platytholus,Platytholus,Flat dome,Herbivore,5.0,3000.0,2.5,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2015,USA,Medium ceratopsian,Medium,https://en.wikipedia.org/wiki/Platytholus,1435
Sugiyamasaurus,Sugiyamasaurus,Sugiyama’s lizard  ,Herbivore,about 9.0m,3500.0,3.0,Quadrupedal,Late Cretaceous,Asia,Hadrosaurid dinosaur,2005,Japan,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Sugiyamasaurus,11057
Mirischia,Mirischia,Mirischia (name origin unclear),Carnivore,1.5,30.0,0.7,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2005,Brazil,"Small, bird-like predator",Unknown,https://en.wikipedia.org/wiki/Mirischia,812
Lapampasaurus,Lapampasaurus,La Pampa lizard,Herbivore,7.0,3500.0,2.5,Bipedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Late Cretaceous titanosaur,Medium,https://en.wikipedia.org/wiki/Lapampasaurus,743
Moabosaurus,Moabosaurus,Moab lizard,Herbivore,-10.0,9000.0,4.0,Quadripedal,Late Cretaceous,North America,Titanosaurian sauropod,2005,USA,Large sauropod with robust limbs,Unknown,https://en.wikipedia.org/wiki/Moabosaurus,813
Apatoraptor,Apatoraptor,Deceptive thief,Carnivore,3.0,60.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2013,USA,Small predator,Small,https://en.wikipedia.org/wiki/Apatoraptor,1223
Pachycephalosaurus,Pachycephalosaurus,Thick-headed lizard,Herbivore,4.5,450.0,1.8,Bipedal,Late Cretaceous,North America,"Known for thick skull, possibly for head-butting",1938,"Montana, USA",Dome-shaped skull,Medium,https://en.wikipedia.org/wiki/Pachycephalosaurus,220
Patagonykus,Patagonykus,Patagonian claw,Carnivore,2.0,50.0,1.0 meters,Bipedal,Late Cretaceous,South America,Alvarezsaurid theropod,1993,Argentina,Small feathered predator,Unknown,https://en.wikipedia.org/wiki/Patagonykus,898
Abditosaurus,Abditosaurus,Hidden lizard,Herbivore,15.0,"20,000 kg",5.5,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2019,Spain,Large sauropod,Large,,1204
Metriacanthosaurus,Metriacanthosaurus,Almond tooth,Herbivore,12.0,3000.0,,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Unknown,http://en.wikipedia.org/wiki/Metriacanthosaurus,184
Lesothosaurus,Lesothosaurus,Sand lizard,HERBIVORE,2.0,12.0,0.8,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,,Slender build,Medium,https://en.wikipedia.org/wiki/Lesothosaurus,162
Laiyangosaurus,Laiyangosaurus,Laiyang lizard,,6.0,3500.0,2.3,Bipedal,Late Cretaceous,Asia,Hadrosaur dinosaur,2017,China,Medium hadrosaur,Medium,https://en.wikipedia.org/wiki/Laiyangosaurus,-1360
Brachiosaurus,Brachiosaurus,Different lizard,carnivore,26.0,56000.0,12.0,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Brachiosaurus,49
Dilong,Dilong,emperor dragon,Carnivore,2.0,25.0,0.7,Bipedal,Early Cretaceous (Barremian–Aptian),Asia (China),Basal tyrannosauroid with evidence of protofeathers,2004,"Yixian Formation, Liaoning Province",One of the earliest feathered tyrannosaurs,High,en.wikipedia.org/wiki/Dilong,538
Nothronychus,Nothronychus,Vineyard lizard,HERBIVORE,-15.0,5000.0,,Quadrupedal,Late Cretaceous,France,Armored,1989,France,Bony armor,Low,https://en.wikipedia.org/wiki/Nothronychus,10203
Gremlin,Gremlin,Gremlin,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,2022,,Small theropod,Small,https://en.wikipedia.org/wiki/Gremlin,-1309
CHUNGKINGOSAURUS ,Chungkingosaurus,Different lizard,Carnivore,12.0,2000.0,3.5,Bipedal,Late Jurassic,North America,Pack hunter,1877,USA,Large skull,Medium,https://en.wikipedia.org/wiki/Chungkingosaurus,69
Alnashetri,Alnashetri,slender hip,Carnivore,0.8,3 kg,0.3,Bipedal,Late Cretaceous (Turonian),South America (Argentina),"Small agile predator, possibly insectivorous",2012,"Cerro Lisandro Formation, Argentina",Slender hind limbs; likely fast runner,High,https://en.wikipedia.org/wiki/Alnashetri,353
Zuoyunlong,Zuoyunlong,Zuoyun dragon,Herbivore,12.0,7000.0,4.0,Quadrupedal,Cretaceous,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Zuoyunlong,-1541
Aetonyx,Aetonyx,Eagle claw,Carnivore,1.5,20.0,0.5,Bipedal,Late Triassic,South Africa,Early theropod; grasping claws,2005,"Elliot Formation, South Africa",Hands/claws; primitive theropod features,Medium,https://en.wikipedia.org/wiki/Aetonyx,332
Geranosaurus,Geranosaurus,crane lizard,Herbivore,2.0,30.0,1.0,,Early Jurassic (Hettangian–Sinemurian),Africa (South Africa),Poorly known ornithischian from fragmentary remains,1911,"Elliot Formation, South Africa",Potentially a basal ornithischian,,https://en.wikipedia.org/wiki/Geranosaurus,618
Smitanosaurus,Smitanosaurus,Smitan lizard,Herbivore,6.0,4000.0,3.0,Bipedal,Late Cretaceous,North America,Sauropod dinosaur,2020?,USA,Medium sauropod,Medium,,1481
Euskelosaurus,Euskelosaurus,good leg lizard,Herbivore,10.0,2000.0,3.0,Quadrupedal,Triassic (Norian),Africa (South Africa),Basal sauropodomorph with strong limb bones,1866,"Elliot Formation, South Africa",Possibly a nomen dubium; long history of debate,Medium,https://en.wikipedia.org/wiki/Euskelosaurus,597
Nullotitan,Nullotitan,Null titan,Herbivore,25.0,35000.0,7.5,Quadrupedal,Late Cretaceous,Australia,Sauropod dinosaur,2019,Australia,Huge sauropod,Huge,https://en.wikipedia.org/wiki/Nullotitan,1415
Ligabueino,Ligabueino,Ligabue's little one,Carnivore,1.0,10.0,0.5,Bipedal ,Late Cretaceous,South America,Noasaurid theropod,1997,Argentina,"Small, lightly built predator",Medium,https://en.wikipedia.org/wiki/Ligabueino,759
Kundurosaurus,Kundurosaurus,Kundur lizard,Herbivore,5.0,3500.0,1.5,Quadrupedal,Late Cretaceous,Asia (Russia),Hadrosaurid dinosaur,2010,Russia,"Large, duck-billed dinosaur",Medium,,730
Ornithodesmus,Ornithodesmus,Bird link,Carnivore,2.0,25.0,1.0,Bipedal,Jurassic,Europe,Theropod dinosaur,1887,UK,Small agile predator,Unknown,https://en.wikipedia.org/wiki/Ornithodesmus,867
Damalasaurus,Damalasaurus,Damala lizard,Herbivore,,,,Quadrupedal,Jurassic (?),Asia (China),Poorly known sauropod; highly dubious,1990,"Tibet Autonomous Region, China",Known from fragmentary remains; nomen dubium,Unknown,https://en.wikipedia.org/wiki/Damalasaurus,526
